exp,t_min,T_C,d13C_vpdb,d18O_vpdb,D47,D47_std,sample_id,mineralogy,reference,cull
35,0,563,2.6,-14.61,0.36,0.002,Eugui dolomite,Dolomite,Lloyd et al. (2018),
35,60,563,2.7,-14.19,0.267,0.008,Eugui dolomite,Dolomite,Lloyd et al. (2018),
35,1020,563,2.17,-14.35,0.226,0.008,Eugui dolomite,Dolomite,Lloyd et al. (2018),
35,4065,563,2.55,-14.48,0.219,0.011,Eugui dolomite,Dolomite,Lloyd et al. (2018),
35,9630,563,2.66,-14.35,0.208,0.026,Eugui dolomite,Dolomite,Lloyd et al. (2018),
36,0,614,2.6,-14.61,0.36,0.002,Eugui dolomite,Dolomite,Lloyd et al. (2018),
36,4.8,614,2.14,-14.87,0.304,0.005,Eugui dolomite,Dolomite,Lloyd et al. (2018),
36,7.8,614,2.64,-14.19,0.296,0.003,Eugui dolomite,Dolomite,Lloyd et al. (2018),
36,15,614,2.09,-14.25,0.252,0.012,Eugui dolomite,Dolomite,Lloyd et al. (2018),
36,25.2,614,1.99,-14.7,0.239,0.004,Eugui dolomite,Dolomite,Lloyd et al. (2018),
36,60,614,2.84,-14.4,0.234,0.007,Eugui dolomite,Dolomite,Lloyd et al. (2018),
36,180,614,2.32,-14.88,0.219,0.003,Eugui dolomite,Dolomite,Lloyd et al. (2018),
36,3840,614,2.07,-14.79,0.231,0.01,Eugui dolomite,Dolomite,Lloyd et al. (2018),
37,0,717,2.6,-14.61,0.36,0.002,Eugui dolomite,Dolomite,Lloyd et al. (2018),
37,4.8,717,2.48,-14.24,0.21,0.017,Eugui dolomite,Dolomite,Lloyd et al. (2018),
37,45,717,2.53,-14.54,0.198,0.007,Eugui dolomite,Dolomite,Lloyd et al. (2018),
37,915,717,2.24,-14.66,0.23,0.01,Eugui dolomite,Dolomite,Lloyd et al. (2018),
38,0,200,7.53,-7.49,0.676,0.028,Tazouta aragonite,Aragonite,Chen et al. (2019),
38,60,200,7.707,-7.428,0.575,0.027,Tazouta aragonite,Aragonite,Chen et al. (2019),
38,1080,200,7.461,-6.834,0.568,0.027,Tazouta aragonite,Aragonite,Chen et al. (2019),
38,1740,200,7.41,-7.642,0.58,0.039,Tazouta aragonite,Aragonite,Chen et al. (2019),
38,5400,200,7.374,-8.002,0.628,0.027,Tazouta aragonite,Aragonite,Chen et al. (2019),
38,8640,200,6.859,-8.166,0.642,0.024,Tazouta aragonite,Aragonite,Chen et al. (2019),
39,0,300,7.53,-7.49,0.676,0.028,Tazouta aragonite,Aragonite,Chen et al. (2019),
39,60,300,7.233,-7.928,0.592,0.033,Tazouta aragonite,Aragonite,Chen et al. (2019),
39,120,300,7.327,-7.7,0.554,0.031,Tazouta aragonite,Aragonite,Chen et al. (2019),
39,780,300,7.327,-7.24,0.538,0.041,Tazouta aragonite,Aragonite,Chen et al. (2019),
39,2460,300,7.813,-7.167,0.639,0.031,Tazouta aragonite,Aragonite,Chen et al. (2019),
39,12960,300,7.001,-8.037,0.612,0.028,Tazouta aragonite,Aragonite,Chen et al. (2019),
40,0,400,7.53,-7.49,0.676,0.028,Tazouta aragonite,Aragonite,Chen et al. (2019),
40,60,400,7.096,-7.568,0.392,0.009,Tazouta aragonite,Aragonite,Chen et al. (2019),
40,120,400,6.14,-7.01,0.422,0.033,Tazouta aragonite,Aragonite,Chen et al. (2019),
40,1020,400,7.39,-7.6,0.527,0.03,Tazouta aragonite,Aragonite,Chen et al. (2019),
40,1476,400,7.29,-7.79,0.505,0.032,Tazouta aragonite,Aragonite,Chen et al. (2019),
40,2880,400,7.72,-7.55,0.468,0.029,Tazouta aragonite,Aragonite,Chen et al. (2019),
41,0,350,7.53,-7.49,0.676,0.028,Tazouta aragonite,Aragonite,Chen et al. (2019),
41,30,350,7.4,-7.449,0.596,0.03,Tazouta aragonite,Aragonite,Chen et al. (2019),
41,60,350,6.88,-7.681,0.482,0.024,Tazouta aragonite,Aragonite,Chen et al. (2019),
41,180,350,7.436,-7.323,0.615,0.026,Tazouta aragonite,Aragonite,Chen et al. (2019),
41,360,350,7.306,-7.489,0.579,0.028,Tazouta aragonite,Aragonite,Chen et al. (2019),
41,360,350,7.483,-7.257,0.562,0.023,Tazouta aragonite,Aragonite,Chen et al. (2019),
41,720,350,7.446,-7.26,0.515,0.022,Tazouta aragonite,Aragonite,Chen et al. (2019),
41,1080,350,7.697,-6.942,0.61,0.02,Tazouta aragonite,Aragonite,Chen et al. (2019),
42,0,350,7.53,-7.49,0.676,0.028,Tazouta aragonite,Aragonite,Chen et al. (2019),
42,30,350,7.364,-7.509,0.607,0.012,Tazouta aragonite,Aragonite,Chen et al. (2019),
42,60,350,7.604,-7.29,0.617,0.012,Tazouta aragonite,Aragonite,Chen et al. (2019),
42,180,350,7.32,-7.289,0.637,0.014,Tazouta aragonite,Aragonite,Chen et al. (2019),
42,360,350,7.549,-7.123,0.547,0.018,Tazouta aragonite,Aragonite,Chen et al. (2019),
42,540,350,7.691,-7.271,0.584,0.015,Tazouta aragonite,Aragonite,Chen et al. (2019),
42,720,350,7.588,-7.213,0.599,0.013,Tazouta aragonite,Aragonite,Chen et al. (2019),
42,1080,350,7.375,-7.307,0.63,0.017,Tazouta aragonite,Aragonite,Chen et al. (2019),
42,1440,350,7.61,-7.332,0.566,0.013,Tazouta aragonite,Aragonite,Chen et al. (2019),
42,2880,350,7.493,-7.106,0.537,0.019,Tazouta aragonite,Aragonite,Chen et al. (2019),
42,4320,350,7.246,-7.333,0.512,0.019,Tazouta aragonite,Aragonite,Chen et al. (2019),
